customer_ID,Month,Year,Numeric Value,Transaction_ID
01GZ1HY1MDYF1DF31PYTRFGAM7,Aug,2010,336.3028388,01GY33CCR1WJJ50B1YKDWAS4VN
01GZ1HY1MV8PBTH9D67Q7MZDB6,Mar,2000,156.954185,01GY33CCR6NBK0XTBQ1WTWFB4R
01GZ1HY1MYD1ZF54KTWVHMFFCY,Mar,2005,789.1994936,01GY33CCRBX82GQNEPT0DT0B1W
01GZ1HY1N5Z506EPJGKE1ACJ1H,Feb,2011,319.9586667,01GY33CCRGQ9TFA399T1X0PY24
01GZ1HY1N8BED1013ZEPWH71NS,Jun,2000,0.296409647,01GY33CCRWBPBHV3E1YQ8RFZZD
01GZ1HY1NCZ73AS6F95RH4NC1F,Jan,2009,221.821565,01GY33CCS2JBDMKKHK59KST0X7
01GZ1HY1NFEJ0C5NQTZRAF64FW,Jan,2005,479.867122,01GY33CCS88JB24RZKHAH92EJQ
01GZ1HY1NHVE13QHW5H3SAF0VY,Oct,2006,582.6303395,01GY33CCSDPQ2KZX2ABZVM2XWA
01GZ1HY1NMHVF1P68VW3R3BF7C,Nov,2011,373.1497889,01GY33CCSJ8ZV5TXQMTHKH0P2J
01GZ1HY1NR5Z58TF6RPGG7BZTK,May,2011,318.8413763,01GY33CCSQ9Q9NW76G7SZZ2AV5
01GZ1HY1NT8MT6ZXJQPTJGJ25P,May,2006,837.1831212,01GY33CCSX3Y62898CVH01G73H
01GZ1HY1NXP6RHDA4KCSQ7TBC9,Jan,2007,977.850629,01GY33CCT39SQPW4TQSQKXCPQ2
01GZ1HY1P04G77MESQX1WMGF7Y,Feb,2000,604.8290168,01GY33CCT9HE3BGCTP75Y9CRAB
01GZ1HY1P37GYTAD1S1YTKRYSR,Oct,2008,321.7606294,01GY33CCTFKRCKG601WWQ7YTKW
01GZ1HY1P5XPEREHJ4AEAGMDKD,Aug,2004,721.8588157,01GY33CCTNNBPMPDH8ZW4T9HVS
01GZ1HY1P8B19KZ2ATDF5F49HE,Dec,2002,972.4325876,01GY33CCTTY0RCW4T3QPEHGGSQ
01GZ1HY1PCV9GDY1R2A8MERPZT,Aug,2013,533.6124638,01GY33CCTZF6AW3WQHFXVZZA7B
01GZ1HY1PE3VMTK5KS03B3WE5V,Sep,2007,926.8489939,01GY33CCV43J5S4C73PS3ZR4A4
01GZ1HY1PHHZNWKQNYEZJKAWJ9,Jan,2007,231.7102476,01GY33CCV9S98JR5H1EEY73H81
01GZ1HY1PMVJD9WBQMQXHRN2QQ,Aug,2004,462.2625771,01GY33CCVEXB5D9KD06XGRN4GM
01GZ1HY1PQ5TVDYADC97ZBM834,Feb,2001,281.3482256,01GY33CCVKRXF47RMJ95RQBGS5
01GZ1HY1PTX73HNV0K0X8QS2G8,Dec,2011,691.581827,01GY33CCVQF78KZ790V9ZEDQES
01GZ1HY1PYQVP9JZ7X8EGE0MDY,Apr,2010,108.7252194,01GY33CCVW3T5Q7BB4HZ68K2WR
01GZ1HY1Q1A7QR27WTWAX0PYB2,Jan,2004,378.1162899,01GY33CCW19CN45ZX6D60NTDGY
01GZ1HY1Q4YKHVK8XFYAGCW5FC,Apr,2000,445.0069213,01GY33CCW6386K5GS9W31CKSG6
01GZ1HY1Q7B6HGC5QXZWBGEMGE,Jan,2005,509.995227,01GY33CCWBAABKHMQ8R43RT369
01GZ1HY1QAHD64GVF6N35HNN72,Jul,2001,307.6373171,01GY33CCWHXA3NT0MAQ61NY3ZS
01GZ1HY1QCZQ7HPVKPXQG08XJK,Apr,2013,473.6270706,01GY33CCWPGXH04662CQ8PBBKD
01GZ1HY1QF5KM0XJC2WJDKMWJ5,Sep,2005,928.2220488,01GY33CCWWGP14SFFE87QG0D3Q
